year,name,alt_name,longitude,latitude,elevation,annual_balance_we
1978,km64,,-147.006678307336,61.0177729247959,140,-7.5
1978,km62b,,-147.08533523529,61.030503678842,181,-6.8
1978,km62a,,-147.00255495077,61.0429559800841,188,-7.5
1978,RKA,,-147.008116848496,61.072905798342,195,-8.5
1978,km62,,-147.056580661175,61.0333827319388,199,-4.7
1978,km60,,-147.04913438568,61.0535409210113,493,-5.2
1978,km50,,-147.059891000892,61.1398848657759,526,-2.1
1978,km58,,-147.060693003702,61.0739248600482,544,-5.6
1978,km48,,-147.029500629985,61.1507310024854,554,-3
1978,kmW47,,-147.169664944926,61.1470906592623,591,-1.2
1978,km46,,-146.999981416352,61.1616600752086,610,-1.8
1978,km44,,-146.970182122359,61.1719452177207,623,-2.3
1978,km42,,-146.936742253037,61.1797263474563,644,-2.9
1978,kmW44,,-147.219472242524,61.158851716441,660,-0.2
1978,km40,,-146.909782903564,61.1919117189204,675,-2.3
1978,kmE38,,-146.882055836757,61.2047733483208,697,-1.6
1978,kmE36,,-146.852907020724,61.2182472153209,723,-1.9
1978,kmW40,,-147.291902062582,61.1645414847702,782,0.5
1978,kmE32,,-146.793797230757,61.2382711099284,789,-1.2
1978,km35,,-146.909497835155,61.2329303134488,806,-0.8
1978,kmE28,,-146.746398063794,61.2669281096835,898,-1.1
1978,km32,,-146.903793019727,61.2590780897384,951,0
1978,kmE24,,-146.684559425023,61.2863965838596,962,-0.2
1978,km28.2,,-146.869786535343,61.2918177770461,1116,0.8
1978,kmNE18,,-146.684858652039,61.3384222525147,1143,-0.7
1978,kmMW28,,-146.940160433829,61.289263545671,1166,1.1
1978,kmMW24,,-146.816928112136,61.28740269017,1247,2.1
1978,kmE16,,-146.565156506246,61.3278036850691,1359,0.7
1978,kmMW20,,-147.082045057905,61.2825816391799,1423,3.6
1978,km24,,-146.58097014514,61.3257705640178,1464,1.2
1978,km14,,-146.936879565235,61.3991460455497,1930,3
1978,km8,,-147.041290892082,61.4158164056038,2232,5.6
1978,km2,,-147.132714649474,61.3847321465188,2653,5.1
2010,MB1,Wire1,-146.866869419854,61.1821804638449,275,-3.4
2010,MB2,Wire2,-146.751239730505,61.2660698352772,580,-3.1
2010,MB3,Wire3,-146.952299512165,61.262540422363,680,-2.65
2010,ELA,,,,967,0
2010,ACC2,,-146.995500920868,61.291940286959,1100,0.59
2010,ACC1,,-146.817499828913,61.314580235359,1380,1.72
2010,GPSlow,km14,-146.926909495351,61.3916099305898,1940,3.11
2011,MB1,Wire1,-146.866869419854,61.1821804638449,275,-5.15
2011,MB8,,-147.25079,61.18586,505,-3.2
2011,MB3,Wire3,-146.952299512165,61.262540422363,680,-0.44
2011,ACC2,,-146.995500920868,61.291940286959,1100,0.4
2011,ACC1,,-146.817499828913,61.314580235359,1380,1.14
2011,TazDivide,,,,1711,2.8
